id_artiste,nom_artiste,popularite,date_effet
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,80,2022-09-07 15:31:00.045649
790FomKkXshlbRYZFtlgla,KAROL G,87,2022-09-07 15:31:00.638957
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,82,2022-09-07 15:31:01.246909
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,90,2022-09-07 15:31:01.971321
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,83,2022-09-07 15:31:02.589832
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,77,2022-09-07 15:31:03.204846
3Nrfpe0tUJi4K4DXYWgMUX,BTS,91,2022-09-07 15:31:03.959914
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,75,2022-09-07 15:31:04.521466
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,75,2022-09-07 15:31:05.108100
6KImCVD70vtIoJWnq6nGn3,Harry Styles,91,2022-09-07 15:31:05.725412
5H4yInM5zmHqpKIoMNAx4r,Central Cee,79,2022-09-07 15:31:06.249925
246dkjvS1zLTtiykXe5h60,Post Malone,88,2022-09-07 15:31:07.014850
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,88,2022-09-07 15:31:07.684175
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:31:08.297370
56oDRnqbIiwx4mymNEv7dS,Lizzo,80,2022-09-07 15:31:08.948186
7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,74,2022-09-07 15:31:09.536185
38PzLQE4GW8o7A18oGhi0x,dazy,74,2022-09-07 15:31:10.124342
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,2022-09-07 15:31:10.779511
4axKuDPr6WKcDCyh8vueTY,Luar La L,73,2022-09-07 15:31:11.290792
3PhoLpVuITZKcymswpck5b,Elton John,83,2022-09-07 15:31:11.975837
26dSoYclwsYLMAKD3tpOr4,Britney Spears,80,2022-09-07 15:31:12.574244
1Qp56T7n950O3EGMsSl81D,Ghost,75,2022-09-07 15:31:13.129888
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,90,2022-09-07 15:31:13.808796
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,83,2022-09-07 15:31:14.353595
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,2022-09-07 15:31:15.104264
790FomKkXshlbRYZFtlgla,KAROL G,87,2022-09-07 15:31:15.738227
4IndUOBCZYZg61557iq2A9,Maldy,68,2022-09-07 15:31:16.286623
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:31:16.923556
0EFisYRi20PTADoJrifHrz,Jhay Cortez,84,2022-09-07 15:31:17.503624
43BxCL6t4c73BQnIJtry5v,James Hype,75,2022-09-07 15:31:18.113440
45ruzGUmIr8WLjLOPJ9mGU,Miggy Dela Rosa,73,2022-09-07 15:31:18.711829
3PhoLpVuITZKcymswpck5b,Elton John,83,2022-09-07 15:31:19.259756
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88,2022-09-07 15:31:19.948589
6n28c9qs9hNGriNa72b26u,PNAU,75,2022-09-07 15:31:20.533712
3TVXtAsR1Inumwj472S9r4,Drake,95,2022-09-07 15:31:21.144003
